Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 1,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[0].stims[0],A psychologist is studying the effects of three different therapies on depression. She collects data on patient mood scores after each therapy. Which of the following is a key assumption of one-way ANOVA that should be verified before proceeding?,Choice pool (runtime order randomized): The variances of mood scores must be equal across all therapies. || The sample size for each therapy group must be the same. || The mood scores must be measured on an ordinal scale. || The mood scores must follow a normal distribution in the population.,The variances of mood scores must be equal across all therapies.,Correct,Yes,The variances of mood scores must be equal across all therapies.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 2,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[1].stims[0],"Consider a one-way ANOVA with three groups. If the F-statistic is calculated as 4.36 and the critical value from the F-distribution table is 3.89, what is the correct interpretation?",Choice pool (runtime order randomized): There is a significant difference between at least two group means. || The sample size is insufficient for the analysis. || There is no significant difference between the group means. || The groups have identical variances.,There is a significant difference between at least two group means.,Correct,Yes,There is a significant difference between at least two group means.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 3,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[2].stims[0],A study is conducted to compare the effectiveness of four different teaching methods on student performance. The ANOVA test shows a p-value of 0.03. What does this indicate?,Choice pool (runtime order randomized): At least one teaching method is significantly different in effectiveness compared to the others. || The teaching methods all have the same effectiveness. || There is a 3% probability that the teaching methods have different effectiveness. || There is a 97% probability that the teaching methods have different effectiveness.,At least one teaching method is significantly different in effectiveness compared to the others.,Problematic but salvageable,Partly,"If alpha is 0.05, reject H0 and conclude at least one mean differs; significance depends on the preset alpha level.",Partly,Ambiguity,No formula needed,A p-value of 0.03 only supports the keyed conclusion if the chosen alpha exceeds 0.03; alpha is never stated.,,"Add ""at alpha = 0.05"" (or another stated alpha) to the stem.",Revise wording
Item 4,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[3].stims[0],"In the context of a one-way ANOVA, what does ‘post-hoc analysis’ typically refer to?",Choice pool (runtime order randomized): Additional analysis to determine which specific groups differ after finding a significant F-statistic || Analysis of variance within each group || Correction of data anomalies found during the ANOVA test || Preliminary analysis conducted before the main ANOVA test,Additional analysis to determine which specific groups differ after finding a significant F-statistic,Correct,Yes,Additional analysis to determine which specific groups differ after finding a significant F-statistic,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 5,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[4].stims[0],"A one-way ANOVA is conducted to compare stress levels in different occupations. If the null hypothesis is that all occupations have the same average stress level, what would be a Type I error in this context?",Choice pool (runtime order randomized): Concluding that there is a difference in stress levels when there isn’t || Failing to detect a difference in stress levels when there is one || Including too many occupations in the analysis || Having unequal sample sizes for each occupation,Concluding that there is a difference in stress levels when there isn’t,Correct,Yes,Concluding that there is a difference in stress levels when there isn’t,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 6,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[5].stims[0],"In a one-way ANOVA comparing five different diets, the sum of squares between groups (SSB) is 80 and the sum of squares within groups (SSW) is 120. What is the total sum of squares (SST)?",Choice pool (runtime order randomized): 200 || 120 || 80 || 40,200,Correct,Yes,200,Yes,None,Okay via simple division/arithmetic,Keyed correctly; the required work is simple arithmetic rather than formula memorization.,,,Keep as is
Item 7,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[6].stims[0],"When conducting a one-way ANOVA, what are the null and alternative hypotheses?","Choice pool (runtime order randomized): Null, All group means are the same, Alternative, At least one group mean is different || Null, The sample sizes are equal, Alternative, The sample sizes are not equal || Null, All group means are different, Alternative, At least one group mean is the same || Null, The group variances are equal, Alternative, The group variances are not equal","Null, All group means are the same, Alternative, At least one group mean is different",Correct,Yes,"Null, All group means are the same, Alternative, At least one group mean is different",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 8,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[7].stims[0],"In a psychological study using one-way ANOVA to compare three therapies, if the null hypothesis states that all therapies are equally effective, what does a failure to reject the null hypothesis imply?",Choice pool (runtime order randomized): There is not enough evidence to conclude that the therapies differ in effectiveness. || The therapies have different levels of effectiveness. || The therapies are not effective at all. || The sample size is too small to determine the effectiveness of the therapies.,There is not enough evidence to conclude that the therapies differ in effectiveness.,Correct,Yes,There is not enough evidence to conclude that the therapies differ in effectiveness.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 9,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[8].stims[0],A one-way ANOVA test is conducted to compare levels of motivation among students in different learning environments. What would be a Type II error in this context?,Choice pool (runtime order randomized): Concluding that different learning environments do not affect motivation when they actually do. || Concluding that different learning environments affect motivation when they do not. || Including too few learning environments in the study. || Having unequal numbers of students in each learning environment.,Concluding that different learning environments do not affect motivation when they actually do.,Correct,Yes,Concluding that different learning environments do not affect motivation when they actually do.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 10,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[9].stims[0],"If the p-value in a one-way ANOVA comparing four different teaching techniques is 0.05, and the significance level (α) is set at 0.01, what is the correct interpretation?",Choice pool (runtime order randomized): The difference in teaching techniques is not statistically significant. || The difference in teaching techniques is statistically significant. || The sample size needs to be increased. || The teaching techniques all have the same level of effectiveness.,The difference in teaching techniques is not statistically significant.,Correct,Yes,The difference in teaching techniques is not statistically significant.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 11,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[10].stims[0],"During a study on the effects of a new therapeutic intervention for anxiety, a sample of 25 patients is selected. The population standard deviation of anxiety scores is known to be 8. What is the standard error of the mean for this study?",Choice pool (runtime order randomized): 1.6 || 0.4 || 16 || 8,1.6,Problematic but salvageable,Yes,1.6,Yes,Formula dependency,Problematic because it requires formula recall,"The keyed answer is numerically correct, but the item mainly rewards recall of the standard-error formula (sigma/sqrt(n)).",,Provide the standard-error formula in the stem or rewrite the item conceptually.,Revise concept/substance
