9	0	Everything we do to express ourselves uses muscles.	Everything we do to express ourselves uses muscles.
9	1	Consciously controlled skeletal muscles are necessary for talking, smiling or frowning, raising a hand in class to ask a question, and even raising an eyebrow.	Consciously controlled skeletal muscles are required to speak, smile or frown, raise a hand in class to ask something, and even raise an eyebrow.
9	2	Behind the scenes, the involuntary, non-consciously-controlled smooth muscle and cardiac muscle are active too.	Involuntary, unconsciously controlled smooth muscle and heart muscles are also active behind the scenes.
9	3	All muscle requires energy from food, and it is smooth muscle that moves that food through the digestive tract.	All muscles require energy from food, and it is the smooth muscle that propels this food through the digestive tract.
9	4	Cardiac muscle continuously pumps blood so that all cells, including muscle cells, can access the absorbed nutrients.	The heart muscle constantly pumps blood so that all cells, including muscle cells, have access to absorbed nutrients.
9	5	All of the force that muscles provide, whether it is moving your eyes in their sockets as you read this page or climbing up a flight of stairs, comes from one set of muscle proteins pulling on another set of muscle proteins.	All the strength in your muscles, whether you are reading this page, moving your eyes in boxes, or climbing stairs, comes from one set of muscle protein that is pulled by another set of muscle protein.
9	6	Individually these proteins do not generate much force, but collectively they are strong--as strong as you!	These proteins don't create much strength, but together they are strong - just as strong as you are!
9	7	This chapter focuses mostly on skeletal muscles, which attach to bones and to the skin of the face and are under conscious control.	This chapter focuses primarily on skeletal muscles, which attach to the bones and skin of the face and are under conscious control.
9	8	A skeletal muscle is an organ of the muscular system.	Skeletal muscle is an organ of the muscular system.
9	9	It is composed primarily of skeletal muscle tissue, nervous tissue, blood, and other connective tissues.	It consists mainly of skeletal muscle tissue, nerve tissue, blood, and other connective tissue.
9	10	Layers of connective tissue enclose and separate all parts of a skeletal muscle.	Layers of connective tissue surround and separate all parts of the skeletal muscle.
9	11	An individual skeletal muscle is separated from adjacent muscles and held in position by layers of dense connective tissue called fascia .	Individual skeletal muscles are separated from adjacent muscles and held in place by layers of dense connective tissue called fascia.
9	12	This connective tissue surrounds each muscle and may project beyond the ends of its muscle fibers, forming a cordlike tendon .	This connective tissue surrounds each muscle and can protrude beyond its muscle fibers to create a tendon tendon.
